"Accession" "Tasseling" "Tasseling_GDUb6" "Silking" "Silking_GDUb6" "ASI" "ASI_GDUb6" "DMC" "DM_Yield" "PLHT" "DMC_Flo" "DM_Yield_Flo"
"49" "49" "205.98" "903.98" "207.12" " 916.74" " 1.07170" "11.7701" "33.1159" "16.0204" "264.71" "-0.20540" " 0.064770"
"50" "50" "204.65" "889.19" "205.29" " 894.75" " 0.92350" " 9.9774" "37.8115" "18.4143" "272.30" " 3.06720" " 2.427000"
"51" "51" "206.26" "907.89" "206.91" " 914.10" " 0.62750" " 6.3443" "32.5513" "17.0128" "266.55" "-0.91970" " 0.853000"
"52" "52" "208.76" "937.99" "210.05" " 952.02" " 1.30050" "13.8698" "29.3035" "17.2366" "283.79" "-1.70390" " 0.616700"
"53" "53" "205.24" "894.95" "207.10" " 917.20" " 1.93200" "22.5507" "35.7225" "15.9334" "261.82" " 2.28820" "-0.183500"
"54" "54" "203.05" "868.56" "204.73" " 887.36" " 1.69430" "19.8096" "35.4722" "16.9489" "255.66" " 0.60050" " 1.019600"
"55" "55" "204.64" "887.56" "206.14" " 904.86" " 1.56950" "16.8490" "32.7107" "16.3753" "248.80" "-1.71510" " 0.375200"
"56" "56" "208.09" "927.95" "210.74" " 957.05" " 2.30500" "25.1379" "31.0043" "16.4286" "268.87" "-0.57220" "-0.226800"
"57" "57" "207.50" "921.32" "210.52" " 956.94" " 2.89470" "34.4830" "30.4204" "16.1663" "268.46" "-0.98050" "-0.284700"
"58" "58" "202.00" "856.53" "203.39" " 871.60" " 1.77680" "19.1773" "36.4020" "14.5357" "237.21" " 0.74270" "-1.104000"
"59" "59" "208.41" "933.22" "211.24" " 964.15" " 2.59470" "28.7445" "31.1860" "17.3000" "260.74" " 0.10380" " 0.606900"
"60" "60" "204.95" "891.79" "206.01" " 903.35" " 0.96740" "10.4403" "32.0087" "17.2068" "265.02" "-1.82750" " 1.313600"
"61" "61" "204.84" "891.25" "207.01" " 915.51" " 2.29960" "25.6629" "31.4736" "17.0121" "254.98" "-2.05660" " 0.792500"
"62" "62" "201.52" "851.49" "204.41" " 884.03" " 2.65050" "29.8939" "37.0002" "13.4740" "249.34" " 1.48870" "-2.268300"
"63" "63" "205.44" "897.53" "207.47" " 920.77" " 2.35550" "26.6284" "32.1041" "15.2832" "250.46" "-0.99700" "-0.909500"
"64" "64" "204.31" "884.40" "205.82" " 902.74" " 1.50590" "18.0763" "34.4117" "16.4972" "252.05" " 0.79550" " 0.510600"
"65" "65" "204.92" "892.43" "205.45" " 897.94" " 0.63430" " 7.0561" "32.7964" "16.6463" "252.82" "-1.27930" " 0.695800"
"66" "66" "203.21" "871.28" "204.53" " 886.67" " 1.19170" "14.9172" "34.6278" "16.9146" "251.41" "-0.04356" " 1.195700"
"67" "67" "207.25" "919.18" "207.59" " 922.07" " 0.30320" " 1.8678" "32.5284" "17.3243" "275.73" "-0.36750" " 1.141800"
"68" "68" "206.00" "905.41" "208.24" " 933.34" " 2.16300" "25.8865" "30.9053" "15.2519" "253.96" "-1.29370" "-1.053900"
"69" "69" "201.70" "852.87" "203.48" " 873.79" " 1.89400" "21.8074" "36.6175" "12.8481" "237.01" " 0.69610" "-2.608500"
"70" "70" "205.89" "901.70" "206.78" " 910.62" " 1.03360" "10.6346" "33.1104" "17.6689" "268.67" "-0.56670" " 1.618900"
"71" "71" "209.48" "944.89" "210.75" " 958.95" " 1.10680" "12.8302" "30.1817" "16.7229" "271.04" "-1.18460" " 0.080150"
"72" "72" "209.30" "943.36" "209.10" " 939.54" "-0.05417" "-2.4237" "32.2636" "17.5645" "268.16" "-0.33250" " 1.214900"
"73" "73" "204.38" "885.55" "205.04" " 891.07" " 1.07570" "10.7011" "34.9828" "15.7706" "255.04" " 0.25100" " 0.033620"
"74" "74" "203.93" "879.34" "205.84" " 901.01" " 1.76280" "19.7017" "33.3158" "16.2869" "247.05" "-1.62580" " 0.287200"
"75" "75" "207.59" "922.35" "208.99" " 939.01" " 1.61660" "17.7434" "31.5097" "17.7089" "261.28" "-0.76610" " 1.379600"
"76" "76" "209.30" "941.13" "210.26" " 951.73" " 1.36680" "14.3004" "31.5757" "18.1509" "269.22" "-0.01265" " 1.490000"
"77" "77" "207.56" "921.98" "207.19" " 917.55" "-0.22180" "-1.9924" "31.6522" "18.3489" "271.36" "-1.51220" " 2.207500"
"78" "78" "204.94" "891.27" "206.35" " 907.49" " 1.53280" "17.1860" "35.0296" "16.0455" "262.43" " 1.00630" "-0.011710"
"79" "79" "203.82" "878.37" "205.12" " 892.78" " 1.07010" "12.5647" "35.4337" "15.7691" "248.09" " 0.35850" "-0.178900"
"80" "80" "207.35" "921.89" "208.98" " 939.47" " 1.68510" "18.3736" "32.2928" "19.3936" "276.07" "-0.00441" " 2.975300"
"81" "81" "206.37" "909.90" "207.17" " 919.15" " 0.96170" "10.5942" "32.7011" "16.4017" "269.20" "-0.42400" " 0.260900"
"82" "82" "207.15" "918.06" "208.80" " 936.03" " 1.79820" "18.6085" "33.1583" "17.7836" "271.70" " 0.74340" " 1.481300"
"83" "83" "208.74" "935.10" "209.38" " 943.66" " 0.74670" " 7.3002" "32.4315" "18.1475" "262.18" " 0.37040" " 1.721700"
"84" "84" "210.29" "951.59" "210.97" " 960.35" " 0.86870" " 8.9519" "29.9033" "18.4248" "271.23" "-1.32880" " 1.820200"
"85" "85" "208.21" "930.83" "210.06" " 951.42" " 1.56880" "17.7987" "31.8573" "17.5050" "265.38" " 0.03423" " 1.074300"
"86" "86" "208.54" "932.91" "210.66" " 958.11" " 1.96030" "23.2126" "31.0664" "17.6866" "280.42" "-0.20240" " 1.199000"
"87" "87" "208.11" "930.49" "210.16" " 954.23" " 2.18540" "24.0647" "30.1543" "16.0806" "278.68" "-1.00400" "-0.384100"
"88" "88" "204.43" "885.33" "206.27" " 905.75" " 2.05740" "22.4927" "33.9569" "16.4432" "249.66" " 0.02214" " 0.611100"
"89" "89" "202.00" "856.27" "203.98" " 879.33" " 2.05740" "23.1190" "34.5818" "14.9554" "239.74" "-0.97980" "-0.701200"
"90" "90" "202.54" "861.92" "203.35" " 870.12" " 0.79050" " 9.3989" "37.3777" "15.5300" "245.91" " 0.87410" "-0.333300"
"91" "91" "200.32" "837.44" "201.77" " 852.05" " 1.55680" "16.8504" "40.9281" "14.9938" "243.41" " 3.45920" "-0.394900"
"92" "92" "202.68" "862.50" "204.94" " 889.29" " 2.08980" "23.4513" "36.9425" "14.3782" "246.39" " 1.94280" "-1.441200"
"93" "93" "200.49" "838.77" "202.07" " 855.87" " 1.39030" "15.1347" "37.2025" "16.2837" "247.91" " 0.37520" " 0.748500"
"94" "94" "202.24" "860.40" "203.26" " 871.26" " 0.82590" " 8.8745" "36.8322" "16.1748" "262.71" " 0.67170" " 0.549800"
"95" "95" "203.67" "876.47" "205.32" " 895.45" " 1.72170" "19.7537" "34.3123" "16.0183" "256.30" "-0.25890" " 0.158800"
"96" "96" "201.77" "854.63" "203.12" " 870.03" " 1.24830" "13.3871" "37.9837" "15.9936" "251.92" " 1.90940" " 0.235000"
"97" "97" "202.21" "858.32" "204.44" " 882.81" " 2.19480" "24.4739" "37.3026" "15.8787" "258.34" " 1.36580" " 0.050660"
"98" "98" "201.20" "847.53" "203.42" " 873.08" " 2.01850" "22.4051" "36.4920" "16.3321" "252.90" " 1.04190" " 0.763500"
"99" "99" "201.72" "854.92" "203.53" " 873.78" " 2.13400" "23.7513" "38.2867" "15.8238" "250.61" " 2.46970" " 0.159100"
"100" "100" "201.98" "858.61" "203.81" " 877.04" " 1.72860" "18.4637" "36.7474" "15.7957" "253.01" " 0.94610" " 0.112800"
"101" "101" "202.66" "863.90" "203.90" " 877.62" " 1.38780" "15.7180" "36.2281" "15.6045" "251.64" " 0.68430" "-0.162900"
"102" "102" "201.48" "850.59" "204.48" " 885.20" " 2.85480" "33.2935" "37.7146" "15.8003" "250.42" " 2.45330" " 0.136100"
"103" "103" "202.56" "863.77" "204.05" " 879.97" " 1.61640" "18.1474" "36.0381" "15.3508" "245.07" " 0.56580" "-0.323500"
"104" "104" "201.91" "856.45" "202.48" " 860.97" " 0.68070" " 7.1580" "37.0002" "15.8820" "257.66" " 0.65280" " 0.376600"
"105" "105" "202.73" "862.94" "204.90" " 887.16" " 1.96630" "21.6073" "39.0544" "16.3484" "258.63" " 3.76200" " 0.431400"
"106" "106" "201.66" "853.07" "202.53" " 863.61" " 0.82160" "10.6041" "36.9328" "15.9951" "255.09" " 0.44660" " 0.275600"
"107" "107" "202.07" "857.06" "203.57" " 874.51" " 1.59500" "19.0825" "37.7662" "15.9931" "250.65" " 2.16380" " 0.357100"
"108" "108" "203.06" "868.77" "204.51" " 885.08" " 1.41800" "17.1143" "35.6316" "17.2676" "258.39" " 0.30640" " 1.503000"
"109" "109" "202.91" "867.09" "204.48" " 884.04" " 1.57320" "16.6921" "35.5477" "16.6759" "245.01" " 0.29990" " 0.958200"
"110" "110" "202.55" "863.21" "203.84" " 877.94" " 1.38580" "15.9726" "37.4287" "17.5194" "266.67" " 1.43410" " 1.833600"
"111" "111" "201.35" "847.68" "201.75" " 851.56" " 0.45230" " 4.7152" "38.4617" "15.8085" "257.59" " 1.09590" " 0.405800"
"112" "112" "202.01" "854.58" "202.33" " 857.85" " 0.62080" " 7.9395" "39.3434" "15.5050" "251.55" " 2.44610" " 0.016330"
"113" "113" "203.73" "877.78" "204.89" " 889.74" " 1.07910" "12.3128" "35.8968" "16.0932" "247.24" " 0.75670" " 0.119800"
"114" "114" "200.25" "836.38" "201.57" " 850.48" " 1.22200" "14.1472" "38.7128" "15.1213" "247.45" " 1.32540" "-0.453100"
"115" "115" "203.65" "877.44" "206.03" " 904.53" " 3.02360" "34.3578" "36.3182" "12.0650" "235.60" " 1.46860" "-3.764400"
"116" "116" "203.62" "876.67" "205.08" " 892.09" " 1.60300" "17.3197" "37.2201" "17.1489" "255.08" " 2.56410" " 1.257200"
"117" "117" "203.13" "868.99" "204.43" " 884.23" " 1.17010" "13.1557" "37.2420" "17.1888" "270.01" " 1.97190" " 1.390900"
"118" "118" "202.37" "860.39" "202.94" " 865.80" " 0.60660" " 6.0461" "37.3052" "15.6727" "249.15" " 1.02300" " 0.077070"
"119" "119" "203.35" "873.22" "204.06" " 879.83" " 0.81890" " 9.3197" "37.8231" "16.9148" "244.47" " 2.54980" " 1.051400"
"120" "120" "202.46" "862.81" "204.11" " 880.80" " 1.63290" "17.7428" "34.2437" "16.2191" "246.61" "-0.69210" " 0.463100"
"121" "121" "202.52" "863.60" "204.08" " 880.30" " 1.43770" "15.0435" "36.7548" "17.0490" "250.55" " 1.07090" " 1.333000"
"122" "122" "203.27" "873.01" "204.25" " 883.36" " 1.01150" "11.8216" "34.1293" "17.2554" "258.34" "-0.87810" " 1.440700"
"123" "123" "203.60" "876.07" "204.32" " 883.64" " 0.84890" " 9.3152" "36.8537" "16.2371" "262.55" " 1.89980" " 0.500400"
"124" "124" "203.69" "876.94" "204.58" " 885.64" " 1.16710" "13.0918" "36.5312" "14.4387" "247.33" " 1.50910" "-1.548800"
"125" "125" "203.56" "874.20" "204.85" " 889.08" " 1.15670" "13.2917" "37.1962" "17.0085" "247.77" " 2.50310" " 1.261900"
"126" "126" "201.48" "850.79" "201.61" " 852.21" " 0.01613" " 1.1318" "40.3716" "16.6197" "241.44" " 3.52560" " 1.055800"
"127" "127" "202.35" "859.88" "203.31" " 870.19" " 1.01590" "10.9930" "37.3720" "16.6062" "244.38" " 1.05390" " 1.031600"
"128" "128" "201.58" "852.55" "202.83" " 866.99" " 1.50950" "16.5307" "38.0980" "16.4697" "259.14" " 2.26800" " 0.921600"
"129" "129" "203.19" "870.52" "203.71" " 875.98" " 0.50520" " 6.2144" "37.3621" "15.6298" "252.88" " 1.53130" " 0.015940"
"130" "130" "203.78" "878.92" "204.63" " 888.12" " 0.97290" "11.3252" "38.3099" "15.8322" "262.05" " 3.40770" " 0.089600"
"131" "131" "202.59" "865.90" "204.02" " 881.15" " 1.40920" "16.1369" "35.9999" "14.5210" "251.00" " 0.84680" "-1.311600"
"132" "132" "202.45" "863.12" "204.03" " 880.77" " 1.84900" "21.3094" "36.3071" "16.6995" "241.65" " 1.34360" " 0.910500"
"133" "133" "208.65" "935.90" "210.10" " 952.74" " 1.46040" "16.1335" "33.3043" "17.5218" "266.39" " 1.62910" " 1.032500"
"134" "134" "202.79" "865.47" "204.17" " 881.11" " 1.41510" "16.7574" "37.4388" "17.0959" "256.99" " 2.06040" " 1.419300"
"135" "135" "202.28" "860.26" "203.85" " 876.94" " 1.43170" "15.3019" "37.8306" "16.4763" "248.81" " 1.98960" " 0.626300"
"136" "136" "201.20" "847.05" "202.08" " 856.98" " 0.77380" " 8.6575" "38.7875" "15.9739" "254.56" " 1.64300" " 0.330100"
"137" "137" "202.76" "864.89" "203.58" " 873.55" " 1.11430" "12.7758" "36.0476" "15.4289" "241.53" " 0.49790" "-0.290600"
"138" "138" "203.68" "876.71" "204.32" " 883.25" " 0.90440" "10.6338" "36.9424" "15.4269" "248.26" " 1.98460" "-0.353700"
"139" "139" "203.89" "879.00" "206.64" " 910.19" " 2.61990" "30.2499" "34.2977" "15.9535" "263.26" " 0.16610" "-0.213900"
"140" "140" "207.68" "923.63" "211.65" " 970.00" " 3.54470" "40.6969" "30.2386" "17.4922" "279.00" "-0.63910" " 0.787000"
"141" "141" "205.43" "897.79" "207.18" " 917.68" " 1.69180" "18.6892" "32.4648" "15.4726" "247.20" "-0.93700" "-0.728700"
"142" "142" "206.54" "911.84" "208.55" " 934.80" " 1.67260" "18.6204" "30.6601" "14.9866" "256.97" "-1.65350" "-1.398200"
"143" "143" "203.95" "879.71" "205.35" " 894.46" " 1.61470" "17.3501" "35.0862" "16.6575" "252.97" " 0.78110" " 0.797500"
"144" "144" "210.11" "951.34" "210.41" " 955.45" " 0.45780" " 5.5025" "31.3500" "18.2630" "270.39" " 0.03818" " 1.849000"
"145" "145" "203.78" "878.20" "205.34" " 895.50" " 1.37690" "15.6263" "36.2712" "16.9508" "263.78" " 1.67480" " 1.017100"
"146" "146" "203.68" "876.95" "204.85" " 890.26" " 1.14180" "12.9198" "35.1446" "16.3074" "263.96" " 0.30810" " 0.517600"
"147" "147" "207.90" "925.24" "211.42" " 964.80" " 2.96860" "32.5980" "29.4911" "16.8292" "251.27" "-1.37920" " 0.177800"
"148" "148" "206.33" "908.11" "209.17" " 940.71" " 2.57250" "29.3139" "30.5290" "17.8774" "271.32" "-1.88690" " 1.412500"
"149" "149" "204.39" "885.63" "207.81" " 926.00" " 3.25980" "37.9478" "34.5537" "15.5451" "254.84" " 1.72080" "-0.769500"
"150" "150" "207.63" "924.75" "209.68" " 948.51" " 1.97150" "21.7830" "30.4994" "18.1490" "265.33" "-1.06000" " 1.682900"
"151" "151" "204.93" "891.34" "208.78" " 935.64" " 3.79460" "42.7028" "32.1450" "16.7224" "253.69" "-0.23350" " 0.360900"
"152" "152" "206.90" "915.13" "208.28" " 930.54" " 1.45970" "15.6833" "31.3602" "18.7429" "274.54" "-0.97520" " 2.474600"
"153" "153" "199.24" "826.51" "200.89" " 843.61" " 1.67280" "17.5487" "39.1125" "13.8040" "232.23" " 1.22270" "-1.395400"
"154" "154" "206.22" "905.49" "207.46" " 919.37" " 1.38750" "14.9206" "30.8864" "15.8157" "250.63" "-2.11030" "-0.303400"
"155" "155" "206.01" "902.29" "207.91" " 926.74" " 1.91000" "22.8879" "31.1561" "16.1657" "260.72" "-1.50750" "-0.093330"
"156" "156" "205.85" "901.07" "208.01" " 927.18" " 1.92740" "22.8221" "29.1733" "16.8294" "234.15" "-1.64770" " 0.539100"
"157" "157" "208.46" "932.42" "209.59" " 946.05" " 1.39810" "15.4503" "31.0072" "16.5347" "259.10" "-0.72010" " 0.075410"
"158" "158" "207.94" "926.67" "208.57" " 934.62" " 0.52660" " 6.4183" "31.4307" "16.6908" "261.66" "-0.34040" " 0.436800"
"159" "159" "208.77" "937.65" "211.54" " 968.68" " 2.67900" "29.8400" "29.6842" "18.5708" "270.09" "-0.96550" " 1.900900"
"160" "160" "206.10" "904.00" "205.97" " 902.04" " 0.15900" " 1.6983" "32.2956" "16.1474" "261.20" "-1.36330" " 0.255400"
"161" "161" "200.86" "843.82" "202.58" " 862.59" " 1.68690" "18.4180" "35.1279" "15.8555" "249.88" "-1.40520" " 0.297200"
"162" "162" "202.60" "863.65" "203.64" " 874.41" " 1.18700" "13.1246" "36.9382" "15.7420" "242.78" " 0.88620" "-0.094170"
"163" "163" "202.78" "867.01" "203.96" " 878.88" " 1.27860" "13.4973" "34.7441" "15.7526" "258.16" "-0.58790" " 0.145100"
"164" "164" "202.48" "863.01" "203.64" " 875.27" " 1.21100" "13.6891" "36.8166" "16.0078" "241.62" " 1.09290" " 0.364700"
"165" "165" "200.89" "844.58" "202.08" " 857.14" " 1.49070" "16.7045" "39.4983" "14.7294" "251.10" " 2.49280" "-0.625400"
"166" "166" "204.02" "880.03" "204.71" " 886.24" " 0.50140" " 6.0471" "36.5919" "15.5232" "234.24" " 1.25390" "-0.832400"
"167" "167" "209.29" "942.45" "210.58" " 957.03" " 1.28250" "13.2825" "32.1242" "17.8349" "264.08" " 1.07630" " 1.315600"
"168" "168" "209.55" "946.05" "213.25" " 987.58" " 3.45980" "38.4039" "27.7614" "16.0713" "266.21" "-1.86300" "-0.944600"
"169" "169" "203.48" "874.20" "204.87" " 889.11" " 1.42840" "15.6339" "36.8735" "15.0216" "244.82" " 2.04720" "-0.792300"
"170" "170" "206.93" "915.37" "209.95" " 950.15" " 2.80670" "31.0949" "32.2661" "14.9553" "250.41" " 0.34800" "-1.528100"
"171" "171" "207.61" "921.98" "211.12" " 962.16" " 3.20880" "36.7544" "29.7265" "16.3128" "271.50" "-1.52110" "-0.398200"
"172" "172" "201.86" "855.58" "202.19" " 858.37" " 0.51720" " 5.9455" "37.2234" "15.7538" "247.97" " 0.83190" " 0.327800"
"173" "173" "210.34" "954.82" "212.28" " 976.67" " 1.67340" "18.8693" "30.6670" "16.9268" "259.83" "-0.01110" " 0.026630"
"174" "174" "208.79" "938.73" "208.30" " 931.30" "-0.15200" "-3.8605" "33.1724" "16.7838" "254.56" " 0.94030" " 0.534000"
"175" "175" "204.44" "883.49" "207.75" " 922.92" " 2.87540" "33.1512" "31.6385" "15.7147" "256.30" "-2.12900" "-0.528500"
"176" "176" "200.78" "843.97" "201.72" " 853.69" " 0.94010" "12.7541" "35.8078" "15.1394" "239.39" "-1.37010" "-0.279300"
"177" "177" "204.92" "891.79" "207.09" " 916.73" " 2.24000" "26.0876" "31.6253" "14.7876" "242.89" "-1.65440" "-1.366900"
"178" "178" "203.00" "869.50" "203.88" " 878.28" " 0.94580" "10.5009" "35.3617" "15.7735" "247.95" " 0.01164" " 0.127100"
"179" "179" "199.64" "831.33" "200.82" " 843.06" " 1.25080" "12.7090" "39.9983" "13.3122" "227.66" " 2.21530" "-1.973900"
"180" "180" "203.00" "868.57" "203.84" " 876.73" " 0.84370" " 9.7482" "36.2753" "15.7391" "239.47" " 0.67190" "-0.059800"
"181" "181" "199.63" "830.41" "200.46" " 839.13" " 0.93220" "11.1044" "38.1311" "14.5163" "233.08" " 0.15950" "-0.972400"
"182" "182" "202.60" "863.42" "204.29" " 881.88" " 1.87860" "21.3536" "35.4649" "16.9322" "254.31" " 0.22780" " 1.259500"
"183" "183" "210.94" "960.73" "213.80" " 992.62" " 2.76890" "29.9543" "28.3309" "18.3334" "271.89" "-1.03160" " 1.372600"
"184" "184" "202.96" "868.13" "204.23" " 881.73" " 1.46410" "16.0168" "35.3520" "15.2434" "242.37" " 0.29770" "-0.536300"
"185" "185" "200.71" "841.43" "202.80" " 864.18" " 2.06930" "22.6794" "36.3544" "14.2014" "225.16" " 0.31930" "-1.336900"
"186" "186" "205.59" "899.12" "206.88" " 914.08" " 1.31690" "13.9700" "34.4058" "17.2383" "257.38" " 0.80470" " 1.159200"
"187" "187" "206.68" "912.55" "207.27" " 918.91" " 0.49450" " 5.2934" "34.5484" "14.3128" "261.41" " 1.11410" "-1.937400"
"188" "188" "202.40" "862.11" "204.81" " 888.16" " 2.25100" "24.7619" "33.8069" "15.2143" "235.19" "-0.85510" "-0.694600"
"189" "189" "206.49" "909.87" "208.52" " 934.56" " 2.16860" "24.5824" "29.6006" "17.7416" "271.81" "-2.37890" " 1.551500"
"190" "190" "209.89" "949.39" "210.78" " 959.57" " 0.52710" " 6.1660" "30.5871" "18.0762" "270.48" "-0.63800" " 1.433000"
"191" "191" "199.38" "827.87" "201.52" " 849.84" " 2.26550" "24.5027" "38.5916" "11.5589" "228.35" " 1.32210" "-3.848600"
